,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,Forsytheganj,52.63,29.73,40.85600000000003,96,82,2.81,BY,1604117477
1,Cidreira,-30.18,-50.21,63.446000000000055,69,81,3.91,BR,1604117443
2,Charters Towers,-20.1,146.27,92.96600000000001,17,0,3.06,AU,1604117477
3,New Norfolk,-42.78,147.06,72.26600000000002,36,17,1.79,AU,1604117477
4,Bathsheba,13.22,-59.52,82.66999999999996,83,75,9.3,BB,1604117477
5,Hong Kong,22.29,114.16,77.26999999999995,64,36,0.89,HK,1604117220
6,Les Escoumins,48.11,-69.02,28.66999999999996,68,10,8.2,CA,1604117477
7,Saint-Philippe,-21.36,55.77,70.06999999999996,52,75,4.6,RE,1604117477
8,Torbay,47.67,-52.73,36.266000000000005,64,90,5.7,CA,1604117478
9,Yellowknife,62.46,-114.35,14.269999999999957,85,75,4.1,CA,1604117478
10,Rikitea,-23.12,-134.97,76.36999999999996,64,0,1.19,PF,1604117248
11,Şile,41.18,29.61,54.266000000000005,76,30,1.34,TR,1604117478
12,Ascension,30.22,-90.9,52.069999999999965,87,1,2.73,US,1604117478
13,Vaini,-21.2,-175.2,77.26999999999995,78,40,5.7,TO,1604117420
14,Kamenka,51.32,42.77,47.73200000000001,94,100,3.29,RU,1604117428
15,Dikson,73.51,80.55,15.13399999999999,96,98,12.0,RU,1604117478
16,Porosozero,62.72,32.73,30.416000000000007,96,0,1.6,RU,1604117479
17,Albany,42.6,-73.97,31.261999999999954,99,54,1.51,US,1604117403
18,Adrar,20.5,-10.07,79.68200000000002,17,61,4.03,MR,1604117479
19,Busselton,-33.65,115.33,69.44000000000003,64,100,4.88,AU,1604117249
20,Mataura,-46.19,168.86,53.27599999999999,87,100,5.81,NZ,1604117266
21,San Andrés,12.58,-81.7,80.86999999999996,83,75,3.1,CO,1604117479
22,Muros,42.78,-9.06,61.26799999999999,91,99,3.13,ES,1604117479
23,Ushuaia,-54.8,-68.3,48.469999999999956,81,75,7.2,AR,1604117418
24,Paamiut,61.99,-49.67,27.05,87,73,9.23,GL,1604117479
25,Saldanha,-33.01,17.94,50.26999999999996,76,0,3.1,ZA,1604117257
26,Butaritari,3.07,172.79,82.74199999999999,77,48,8.9,KI,1604117426
27,Jalu,29.03,21.55,59.55800000000001,74,20,3.5,LY,1604117480
28,Buala,-8.14,159.59,84.00199999999998,70,77,1.05,SB,1604117369
29,Souillac,-20.52,57.52,70.06999999999996,56,20,6.7,MU,1604117443
30,Bereda,43.27,-7.54,63.266000000000005,82,90,5.1,ES,1604117452
31,Kavaratti,10.57,72.64,84.46999999999997,79,40,2.1,IN,1604117480
32,Hermanus,-34.42,19.23,45.266000000000005,93,0,5.29,ZA,1604117278
33,Bredasdorp,-34.53,20.04,50.26999999999996,76,20,1.25,ZA,1604117247
