,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,Bethel,41.37,-73.41,32.26999999999996,94,23,1.33,US,1604110450
1,Darhan,49.49,105.92,31.45999999999998,92,80,1.09,MN,1604110621
2,Anshun,26.25,105.93,60.42200000000004,93,100,1.48,CN,1604110621
3,Rocha,-34.48,-54.33,45.08599999999997,89,89,0.63,UY,1604110553
4,Luganville,-15.53,167.17,84.46999999999997,74,75,4.1,VU,1604110621
5,Berezovyy,51.67,135.7,39.2,68,100,0.85,RU,1604110621
6,Busselton,-33.65,115.33,76.26199999999996,45,100,4.56,AU,1604110621
7,Orgtrud,56.18,40.61,37.04000000000002,92,1,0.81,RU,1604110621
8,Upernavik,72.79,-56.15,19.885999999999967,96,99,1.71,GL,1604110621
9,Pergamino,-33.89,-60.57,52.26799999999999,80,0,0.89,AR,1604110622
10,East London,-33.02,27.91,62.690000000000026,68,100,0.71,ZA,1604110622
11,Krasnoarmeysk,51.02,45.7,44.27599999999999,67,100,0.89,RU,1604110622
12,Laas,46.62,10.7,40.26199999999996,100,0,0.5,IT,1604110622
13,Mahébourg,-20.41,57.7,68.26999999999995,56,20,5.7,MU,1604110410
14,Olavarría,-36.89,-60.32,47.24600000000005,63,0,1.73,AR,1604110622
15,Ketchikan,55.34,-131.65,44.86999999999996,75,90,3.1,US,1604110393
16,Kaitangata,-46.28,169.85,58.26199999999996,87,100,4.92,NZ,1604110622
17,Mugur-Aksy,50.35,90.5,17.438000000000045,87,55,1.87,RU,1604110623
18,Ushuaia,-54.8,-68.3,50.26999999999996,71,75,8.2,AR,1604110489
19,Kurumkan,54.3,110.3,28.417999999999985,85,100,0.7,RU,1604110623
20,Hilo,19.73,-155.09,82.66999999999996,74,90,3.6,US,1604110623
21,Hermanus,-34.42,19.23,44.27599999999999,94,0,5.3,ZA,1604110623
22,Kapaa,22.08,-159.32,82.66999999999996,65,75,2.6,US,1604110623
23,Bredasdorp,-34.53,20.04,48.469999999999956,81,25,1.12,ZA,1604110624
24,Rikitea,-23.12,-134.97,76.44200000000001,63,0,0.27,PF,1604110493
25,Rincon,32.3,-81.24,61.069999999999965,82,1,2.6,US,1604110624
26,Sola,-13.88,167.55,81.93200000000002,78,100,6.9,VU,1604110624
27,Mataura,-46.19,168.86,54.266000000000005,95,100,6.71,NZ,1604110624
28,Provideniya,64.38,-173.3,23.503999999999948,85,23,3.23,RU,1604110585
29,Verkh-Suetka,53.3,80.05,33.36799999999998,98,100,2.12,RU,1604110624
30,Dingle,11.0,122.67,83.91199999999995,79,100,5.04,PH,1604110624
31,Tiksi,71.69,128.87,7.627999999999961,95,100,1.95,RU,1604110536
32,Atuona,-9.8,-139.03,78.25999999999999,74,53,5.11,PF,1604110573
33,Tasiilaq,65.61,-37.64,34.06999999999996,80,100,25.2,GL,1604110625
34,Butaritari,3.07,172.79,82.88599999999997,75,90,8.75,KI,1604110625
35,Najrān,17.49,44.13,59.26999999999996,30,0,0.79,SA,1604110625
